"AUXRR181.Code.or.Value","AUXRR181.Value.Description","AUXRR181.Count","AUXRR181.Cumulative","AUXRR181.Skip.to.Item"
"-20 to 127","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
