"TYXP179.Code.or.Value","TYXP179.Value.Description","TYXP179.Count","TYXP179.Cumulative","TYXP179.Skip.to.Item"
"-298 to 2","Range of Values",2296,2296,NA
".","Missing",6173,8469,NA
