"DXXPT12Y.Code.or.Value","DXXPT12Y.Value.Description","DXXPT12Y.Count","DXXPT12Y.Cumulative","DXXPT12Y.Skip.to.Item"
"80.2 to 319.9","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
