"TYXP242.Code.or.Value","TYXP242.Value.Description","TYXP242.Count","TYXP242.Cumulative","TYXP242.Skip.to.Item"
"-297 to 135","Range of Values",95,95,NA
".","Missing",5490,5585,NA
