"DRD370DQ.Code.or.Value","DRD370DQ.Value.Description","DRD370DQ.Count","DRD370DQ.Cumulative","DRD370DQ.Skip.to.Item"
"1 to 10","Range of Values",376,376,NA
".","Missing",9267,9643,NA
