"LBXRST.Code.or.Value","LBXRST.Value.Description","LBXRST.Count","LBXRST.Cumulative","LBXRST.Skip.to.Item"
"0.11 to 13.01","Range of Values",4761,4761,NA
"0.08","Fill Value of Limit of Detection",2507,7268,NA
".","Missing",714,7982,NA
