"WHD100M.Code.or.Value","WHD100M.Value.Description","WHD100M.Count","WHD100M.Cumulative","WHD100M.Skip.to.Item"
"34","Drank a lot of water to not gain weight",594,594,NA
".","Missing",5619,6213,NA
