"SSII4FO2.Code.or.Value","SSII4FO2.Value.Description","SSII4FO2.Count","SSII4FO2.Cumulative","SSII4FO2.Skip.to.Item"
"0 to 3.5","Range of Values",1029,1029,NA
".","Missing",7,1036,NA
