"AUXRR180.Code.or.Value","AUXRR180.Value.Description","AUXRR180.Count","AUXRR180.Cumulative","AUXRR180.Skip.to.Item"
"-25 to 117","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
