"DSQICARB.Code.or.Value","DSQICARB.Value.Description","DSQICARB.Count","DSQICARB.Cumulative","DSQICARB.Skip.to.Item"
"0.002 to 705.6","Range of Values",1168,1168,NA
".","Missing",7117,8285,NA
