"DXXNKBMD.Code.or.Value","DXXNKBMD.Value.Description","DXXNKBMD.Count","DXXNKBMD.Cumulative","DXXNKBMD.Skip.to.Item"
"0.359 to 1.643","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
