"LBDVZBLC.Code.or.Value","LBDVZBLC.Value.Description","LBDVZBLC.Count","LBDVZBLC.Cumulative","LBDVZBLC.Skip.to.Item"
"0","At or above detection limit",179,179,NA
"1","Below lower detection limit",2687,2866,NA
".","Missing",306,3172,NA
