"LBDF04LC.Code.or.Value","LBDF04LC.Value.Description","LBDF04LC.Count","LBDF04LC.Cumulative","LBDF04LC.Skip.to.Item"
"0","detectable result",1003,1003,NA
"1","below detectable limit",220,1223,NA
".","Missing",1324,2547,NA
