"DR1TPFAT.Code.or.Value","DR1TPFAT.Value.Description","DR1TPFAT.Count","DR1TPFAT.Cumulative","DR1TPFAT.Skip.to.Item"
"0 to 136.1","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
