"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",7401,7401,NA
"2","Spanish",1007,8408,NA
"3","English and Spanish",76,8484,NA
"4","Other",47,8531,NA
"5","Asian Languages",54,8585,NA
"6","Asian Languages and English",43,8628,NA
".","Missing",916,9544,NA
