"DR1TM221.Code.or.Value","DR1TM221.Value.Description","DR1TM221.Count","DR1TM221.Cumulative","DR1TM221.Skip.to.Item"
"0 to 9.992","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
