"DRD350GQ.Code.or.Value","DRD350GQ.Value.Description","DRD350GQ.Count","DRD350GQ.Cumulative","DRD350GQ.Skip.to.Item"
"1 to 6","Range of Values",276,276,NA
".","Missing",9268,9544,NA
