"AUXLR108.Code.or.Value","AUXLR108.Value.Description","AUXLR108.Count","AUXLR108.Cumulative","AUXLR108.Skip.to.Item"
"-58 to 58","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
