"URXMB3.Code.or.Value","URXMB3.Value.Description","URXMB3.Count","URXMB3.Cumulative","URXMB3.Skip.to.Item"
"0.424 to 264","Range of Values",2520,2520,NA
".","Missing",235,2755,NA
