"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",1277,1277,""
"2","No",4673,5950,"DRD370U"
".","Missing",4303,10253,""
