"WBXF026.Code.or.Value","WBXF026.Value.Description","WBXF026.Count","WBXF026.Cumulative","WBXF026.Skip.to.Item"
"771.1054 to 771.1054","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
