"BMDRECUF.Code.or.Value","BMDRECUF.Value.Description","BMDRECUF.Count","BMDRECUF.Cumulative","BMDRECUF.Skip.to.Item"
"1","Difference between recumbent length  and standing height was greater than 2.5 cm",27,27,NA
".","Missing",9616,9643,NA
