"TYXP080.Code.or.Value","TYXP080.Value.Description","TYXP080.Count","TYXP080.Cumulative","TYXP080.Skip.to.Item"
"-200 to 107","Range of Values",8466,8466,NA
".","Missing",3,8469,NA
