"DS2TFDFE.Code.or.Value","DS2TFDFE.Value.Description","DS2TFDFE.Count","DS2TFDFE.Cumulative","DS2TFDFE.Skip.to.Item"
"3 to 20400","Range of Values",1450,1450,NA
".","Missing",8094,9544,NA
