"OPDSSWRT.Code.or.Value","OPDSSWRT.Value.Description","OPDSSWRT.Count","OPDSSWRT.Cumulative","OPDSSWRT.Skip.to.Item"
"0","No",2325,2325,NA
"1","Questionable",11,2336,NA
"2","Yes",32,2368,NA
"3","Yes, in center",8,2376,NA
".","Missing",558,2934,NA
