"OHD31LAM.Code.or.Value","OHD31LAM.Value.Description","OHD31LAM.Count","OHD31LAM.Cumulative","OHD31LAM.Skip.to.Item"
"0 to 9","Range of Values",1316,1316,NA
"99","Calculation cannot be determined",475,1791,NA
".","Missing",4967,6758,NA
