"DXXCRURT.Code.or.Value","DXXCRURT.Value.Description","DXXCRURT.Count","DXXCRURT.Cumulative","DXXCRURT.Skip.to.Item"
"0.7 to 1.3","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
