"RFXT049.Code.or.Value","RFXT049.Value.Description","RFXT049.Count","RFXT049.Cumulative","RFXT049.Skip.to.Item"
"416 to 424","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
