"ARQ020C.Code.or.Value","ARQ020C.Value.Description","ARQ020C.Count","ARQ020C.Cumulative","ARQ020C.Skip.to.Item"
"3","MID BACK",314,314,NA
".","Missing",4792,5106,NA
