"LBXEOPCT.Code.or.Value","LBXEOPCT.Value.Description","LBXEOPCT.Count","LBXEOPCT.Cumulative","LBXEOPCT.Skip.to.Item"
"0 to 28.5","Range of Values",8250,8250,NA
".","Missing",1057,9307,NA
