"URXMX6.Code.or.Value","URXMX6.Value.Description","URXMX6.Count","URXMX6.Cumulative","URXMX6.Skip.to.Item"
"0.003 to 474","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
