"DXXFRAX2.Code.or.Value","DXXFRAX2.Value.Description","DXXFRAX2.Count","DXXFRAX2.Cumulative","DXXFRAX2.Skip.to.Item"
"1.32 to 64.78","Range of Values",3127,3127,NA
".","Missing",581,3708,NA
