"LBXLH.Code.or.Value","LBXLH.Value.Description","LBXLH.Count","LBXLH.Cumulative","LBXLH.Skip.to.Item"
"0.14 to 132.96","Range of Values",820,820,NA
".","Missing",5938,6758,NA
