"CIQGPE.Code.or.Value","CIQGPE.Value.Description","CIQGPE.Count","CIQGPE.Cumulative","CIQGPE.Skip.to.Item"
"1","Yes",3,3,""
"2","No",13,16,"CIDGPRB"
"7","Refused",0,16,"CIDGPRB"
"9","Don't know",0,16,"CIDGPRB"
".","Missing",834,850,""
