"WTSCI41.Code.or.Value","WTSCI41.Value.Description","WTSCI41.Count","WTSCI41.Cumulative","WTSCI41.Skip.to.Item"
"0 to 473058.69658","Range of Values",727,727,NA
".","Missing",51,778,NA
