"BPQ057.Code.or.Value","BPQ057.Value.Description","BPQ057.Count","BPQ057.Cumulative","BPQ057.Skip.to.Item"
"1","Yes",963,963,NA
"2","No",5878,6841,NA
"7","Refused",0,6841,NA
"9","Don't know",48,6889,NA
".","Missing",0,6889,NA
