"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.2 to 5.7","Range of Values",2127,2127,NA
"777","Refused",2,2129,NA
"888","Could not obtain",62,2191,NA
".","Missing",177,2368,NA
