"PFQ061D.Code.or.Value","PFQ061D.Value.Description","PFQ061D.Count","PFQ061D.Cumulative","PFQ061D.Skip.to.Item"
"1","No difficulty",1320,1320,NA
"2","Some difficulty",823,2143,NA
"3","Much difficulty",406,2549,NA
"4","Unable to do",283,2832,NA
"5","Do not do this activity",39,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
