"OHD27LAM.Code.or.Value","OHD27LAM.Value.Description","OHD27LAM.Count","OHD27LAM.Cumulative","OHD27LAM.Skip.to.Item"
"0 to 12","Range of Values",1669,1669,NA
"99","Calculation cannot be determined",113,1782,NA
".","Missing",4976,6758,NA
