"DXXPT66Y.Code.or.Value","DXXPT66Y.Value.Description","DXXPT66Y.Count","DXXPT66Y.Cumulative","DXXPT66Y.Skip.to.Item"
"90.2 to 325.3","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
