"DS1IVD.Code.or.Value","DS1IVD.Value.Description","DS1IVD.Count","DS1IVD.Cumulative","DS1IVD.Skip.to.Item"
"0.03 to 1250","Range of Values",2440,2440,NA
".","Missing",3254,5694,NA
