"OSQ040ca.Code.or.Value","OSQ040ca.Value.Description","OSQ040ca.Count","OSQ040ca.Cumulative","OSQ040ca.Skip.to.Item"
"1","Under 50 years old, or",71,71,"OSQ025"
"2","50 years old or older?",19,90,""
"7","Refused",0,90,"OSQ025"
"9","Don't know",1,91,"OSQ025"
".","Missing",4789,4880,""
