"OPDDPHVH.Code.or.Value","OPDDPHVH.Value.Description","OPDDPHVH.Count","OPDDPHVH.Cumulative","OPDDPHVH.Skip.to.Item"
"0","None",2421,2421,NA
"1","Questionable",1,2422,NA
"2","< 1 Disc Area",0,2422,NA
"3",">= 1 Disc Area",0,2422,NA
".","Missing",512,2934,NA
