"LBCBR7.Code.or.Value","LBCBR7.Value.Description","LBCBR7.Count","LBCBR7.Cumulative","LBCBR7.Skip.to.Item"
"9.732 to 794","Range of Values",251,251,NA
".","Missing",0,251,NA
