"LBXRPL.Code.or.Value","LBXRPL.Value.Description","LBXRPL.Count","LBXRPL.Cumulative","LBXRPL.Skip.to.Item"
"0.2 to 72.7","Range of Values",7885,7885,NA
"0.14","Fill Value of Limit of Detection",168,8053,NA
".","Missing",1209,9262,NA
