"DXXPT44X.Code.or.Value","DXXPT44X.Value.Description","DXXPT44X.Count","DXXPT44X.Cumulative","DXXPT44X.Skip.to.Item"
"165.6 to 811.6","Range of Values",3292,3292,NA
".","Missing",416,3708,NA
