"AUXLR131.Code.or.Value","AUXLR131.Value.Description","AUXLR131.Count","AUXLR131.Cumulative","AUXLR131.Skip.to.Item"
"-20 to 52","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
