"OPDDOTHC.Code.or.Value","OPDDOTHC.Value.Description","OPDDOTHC.Count","OPDDOTHC.Cumulative","OPDDOTHC.Skip.to.Item"
"0","No",2345,2345,NA
"1","Questionable",15,2360,NA
"2","Yes",78,2438,NA
"3","Yes, in center",0,2438,NA
".","Missing",496,2934,NA
