"SMQ876.Code.or.Value","SMQ876.Value.Description","SMQ876.Count","SMQ876.Cumulative","SMQ876.Skip.to.Item"
"1","Yes",633,633,NA
"2","No",4200,4833,NA
"7","Refused",1,4834,NA
"9","Don't know",14,4848,NA
".","Missing",5123,9971,NA
