"DSQTSFAT.Code.or.Value","DSQTSFAT.Value.Description","DSQTSFAT.Count","DSQTSFAT.Cumulative","DSQTSFAT.Skip.to.Item"
"0.002 to 9","Range of Values",200,200,NA
".","Missing",9975,10175,NA
