"WTSPP11.Code.or.Value","WTSPP11.Value.Description","WTSPP11.Count","WTSPP11.Cumulative","WTSPP11.Skip.to.Item"
"0 to 848265.29606","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
