"WBXA004.Code.or.Value","WBXA004.Value.Description","WBXA004.Count","WBXA004.Cumulative","WBXA004.Skip.to.Item"
"-6.6814 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
