"LBXVMCP.Code.or.Value","LBXVMCP.Value.Description","LBXVMCP.Count","LBXVMCP.Cumulative","LBXVMCP.Skip.to.Item"
"0.014 to 62.5","Range of Values",2796,2796,NA
".","Missing",376,3172,NA
