"AUXLR110.Code.or.Value","AUXLR110.Value.Description","AUXLR110.Count","AUXLR110.Cumulative","AUXLR110.Skip.to.Item"
"-53 to 87","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
