"AUXLR267.Code.or.Value","AUXLR267.Value.Description","AUXLR267.Count","AUXLR267.Cumulative","AUXLR267.Skip.to.Item"
"-28 to 76","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
