"DXXPT47Y.Code.or.Value","DXXPT47Y.Value.Description","DXXPT47Y.Count","DXXPT47Y.Cumulative","DXXPT47Y.Skip.to.Item"
"110.8 to 342.1","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
