"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"250 to 322","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
