"DXXPT33X.Code.or.Value","DXXPT33X.Value.Description","DXXPT33X.Count","DXXPT33X.Cumulative","DXXPT33X.Skip.to.Item"
"304.1 to 945.5","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
