"AUXLOEXC.Code.or.Value","AUXLOEXC.Value.Description","AUXLOEXC.Count","AUXLOEXC.Cumulative","AUXLOEXC.Skip.to.Item"
"1","Yes (checkbox checked)",103,103,NA
"2","No (checkbox unchecked)",1046,1149,NA
".","Missing",61,1210,NA
