"SPQ040.Code.or.Value","SPQ040.Value.Description","SPQ040.Count","SPQ040.Cumulative","SPQ040.Skip.to.Item"
"1","Yes",1248,1248,""
"2","No",6391,7639,"SPQ060"
"7","Refused",0,7639,""
"9","Don't know",3,7642,""
".","Missing",553,8195,""
