"RFXC164.Code.or.Value","RFXC164.Value.Description","RFXC164.Count","RFXC164.Cumulative","RFXC164.Skip.to.Item"
"-5.965 to 3.336","Range of Values",51050,51050,NA
".","Missing",26,51076,NA
