"FSQ165.Code.or.Value","FSQ165.Value.Description","FSQ165.Count","FSQ165.Cumulative","FSQ165.Skip.to.Item"
"1","Yes",4556,4556,""
"2","No",5039,9595,"FSD855"
"7","Refused",22,9617,"FSD855"
"9","Don't know",32,9649,"FSD855"
".","Missing",322,9971,""
