"DSQICAFF.Code.or.Value","DSQICAFF.Value.Description","DSQICAFF.Count","DSQICAFF.Cumulative","DSQICAFF.Skip.to.Item"
"20 to 1200","Range of Values",17,17,NA
".","Missing",9967,9984,NA
