"TYXP051.Code.or.Value","TYXP051.Value.Description","TYXP051.Count","TYXP051.Cumulative","TYXP051.Skip.to.Item"
"-86 to 186","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
